# 감초	갱미	건강	계지	과루근	귤피	대조	대황	도인	마황	망초	모려	반하	복령	부자	생강	석고	세신	시호	아교	오미자	용골	인삼	작약	정력	지실	치자	택사	행인	향시	황금	황기	황련	후박
106	6	19	46	3	1	52	6	1	20	3	5	21	15	15	47	11	6	5	3	6	3	20	29	0	1	2	1	12	1	12	5	6	3
6	7	1	1	0	0	2	0	0	0	0	0	3	0	1	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
19	1	31	5	1	0	5	2	0	1	0	1	11	6	8	1	0	5	1	0	5	0	12	1	0	0	1	0	2	0	6	0	5	0
46	1	5	61	2	0	33	4	2	10	2	5	7	12	6	33	4	2	3	0	2	5	8	25	0	3	0	4	6	0	4	5	1	3
3	0	1	2	5	0	2	0	0	0	0	2	0	1	1	2	0	0	2	0	0	0	1	1	1	0	0	1	0	0	2	0	0	0
1	0	0	0	0	5	1	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
52	2	5	33	2	1	59	4	0	11	1	3	16	3	6	48	6	1	6	0	0	3	16	25	1	2	0	0	5	0	12	4	4	2
6	0	2	4	0	1	4	29	5	0	6	1	3	2	2	4	0	2	2	1	1	1	1	3	2	7	3	0	3	1	4	0	3	5
1	0	0	2	0	0	0	5	7	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20	0	1	10	0	0	11	0	0	23	0	1	4	0	3	11	7	3	0	0	1	0	0	7	0	0	0	0	8	0	0	1	0	0
3	0	0	2	0	0	1	6	2	0	8	0	1	1	0	1	0	0	1	0	0	0	2	0	1	1	0	0	1	0	1	0	0	1
5	0	1	5	2	0	3	1	0	1	0	7	1	1	0	3	0	0	2	0	0	4	1	1	1	0	0	1	0	0	2	0	0	0
21	3	11	7	0	0	16	3	0	4	1	1	36	7	1	14	2	5	5	0	4	1	15	6	0	1	0	0	2	0	10	0	5	2
15	0	6	12	1	1	3	2	1	0	1	1	7	33	5	8	0	5	1	1	5	1	5	5	0	1	0	6	3	0	1	1	0	1
15	1	8	6	1	0	6	2	0	3	0	0	1	5	27	6	0	3	0	1	0	0	3	4	0	0	0	1	0	0	2	0	1	0
47	0	1	33	2	4	48	4	0	11	1	3	14	8	6	61	6	1	6	0	0	3	13	25	0	5	1	1	5	1	8	4	1	4
11	4	0	4	0	0	6	0	0	7	0	0	2	0	0	6	12	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0
6	0	5	2	0	0	1	2	0	3	0	0	5	5	3	1	0	9	0	0	5	0	0	1	0	0	0	0	2	0	0	0	0	0
5	0	1	3	2	0	6	2	0	0	1	2	5	1	0	6	0	0	7	0	0	1	5	2	0	1	0	0	0	0	7	0	0	0
3	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	6	0	0	0	2	0	0	0	1	0	0	2	0	2	0
6	0	5	2	0	0	0	1	0	1	0	0	4	5	0	0	0	5	0	0	6	0	0	1	0	0	0	0	2	0	0	0	0	0
3	0	0	5	0	0	3	1	0	0	0	4	1	1	0	3	0	0	1	0	0	6	1	1	0	0	0	0	0	0	1	0	0	0
20	3	12	8	1	2	16	1	0	0	2	1	15	5	3	13	3	0	5	0	0	1	31	3	0	1	0	0	0	0	10	0	5	1
29	0	1	25	1	0	25	3	1	7	0	1	6	5	4	25	1	1	2	2	1	1	3	41	0	4	0	1	4	0	5	5	1	2
0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0
1	0	0	3	0	2	2	7	0	0	1	0	1	1	0	5	0	0	1	0	0	0	1	4	0	16	3	0	1	2	1	0	0	7
2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	10	0	0	5	0	0	0	1
1	0	0	4	1	0	0	0	0	0	0	1	0	6	1	1	0	0	0	1	0	0	0	1	1	0	0	8	0	0	0	0	0	0
12	0	2	6	0	0	5	3	0	8	1	0	2	3	0	5	3	2	0	0	2	0	0	4	1	1	0	0	16	0	0	0	0	2
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5	0	0	6	0	0	0	0
12	0	6	4	2	0	12	4	0	0	1	2	10	1	2	8	0	0	7	2	0	1	10	5	0	1	0	0	0	0	20	0	8	0
5	0	0	5	0	0	4	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0
6	0	5	1	0	0	4	3	0	0	0	0	5	0	1	1	0	0	0	2	0	0	5	1	0	0	0	0	0	0	8	0	13	0
3	0	0	3	0	0	2	5	0	0	1	0	2	1	0	4	0	0	0	0	0	0	1	2	0	7	1	0	2	0	0	0	0	10
